dataset,model,cpu_load,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed,n_samples
Eeg-eye-state,Neighbors,5.25,0.862805,0.864182,0.864166,0.864152,0.023599,2.192712e+00,5.030403e-06,2.594823e-05,14980
Eeg-eye-state,Neighbors,5.25,0.899801,0.901829,0.901758,0.901869,0.023316,2.192712e+00,5.030403e-06,2.594823e-05,14980
Eeg-eye-state,Neighbors,5.25,0.810271,0.815467,0.814644,0.815421,0.023157,2.192712e+00,5.030403e-06,2.594823e-05,14980
Eeg-eye-state,Neighbors,5.25,0.835261,0.837074,0.837093,0.837116,0.023164,2.192712e+00,5.030403e-06,2.594823e-05,14980
Eeg-eye-state,NaiveBayes,5.25,0.539649,0.554566,0.498317,0.518024,0.014766,2.683179e-01,8.383140e-07,4.324260e-06,14980
Eeg-eye-state,NaiveBayes,5.25,0.506419,0.532529,0.346248,0.461949,0.014052,2.683179e-01,8.383140e-07,4.324260e-06,14980
Eeg-eye-state,NaiveBayes,5.25,0.497959,0.490612,0.312686,0.450935,0.015166,2.683179e-01,8.383140e-07,4.324260e-06,14980
Eeg-eye-state,NaiveBayes,5.25,0.497657,0.476541,0.297273,0.448932,0.013601,2.683179e-01,8.383140e-07,4.324260e-06,14980
Eeg-eye-state,NaiveBayes,5.25,0.494353,0.434044,0.292478,0.445594,0.013866,2.683179e-01,8.383140e-07,4.324260e-06,14980
Eeg-eye-state,GradientBoost,5.4375,0.799971,0.806920,0.805204,0.806409,1.976133,1.121804e+01,2.574882e-05,1.328197e-04,14980
